Time;ax;ay;az;wx;wy;wz;AngleX;AngleY;AngleZ;T 
616.615;0.0020;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2100 
616.615;0.0020;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2100 
616.615;0.0020;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2600 
616.615;0.0020;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2600 
616.615;0.0020;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2000 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2000 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2500 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2500 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2400 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6073;35.2400 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2300 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2300 
616.615;0.0024;0.0054;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2400 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2400 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.1800 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.5963;35.1800 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.5963;35.1900 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.5963;35.1900 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.1900 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.1700 
616.635;0.0029;0.0054;0.9937;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.1700 
616.645;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2000 
616.645;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2000 
616.655;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2100 
616.675;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2100 
616.675;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2200 
616.675;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0824;-55.6018;35.2200 
616.675;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0879;-55.6073;35.1800 
616.685;0.0029;0.0059;0.9932;0.0000;0.0000;0.0000;0.3076;-0.0879;-55.6073;35.1800 
616.685;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6073;35.2500 
616.695;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6073;35.2500 
616.695;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6128;35.2000 
616.705;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6128;35.2000 
616.705;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6183;35.2800 
616.795;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6183;35.2800 
616.795;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6238;35.2800 
616.805;0.0029;0.0059;0.9937;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6238;35.1900 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6293;35.1900 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6293;35.1700 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6293;35.1700 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6348;35.2300 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6348;35.2300 
616.805;0.0020;0.0054;0.9932;0.0000;0.0000;0.0610;0.3076;-0.0879;-55.6348;35.3000 
