Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T	hx	hy	hz 
05713.089	0.0938	0.0288	0.9385	0.0000	0.0000	0.0000	1.7633	-5.6580	175.3912	34.2300	25	-303	-9 
05713.179	0.0938	0.0288	0.9390	0.0000	0.0000	0.0000	1.7578	-5.6580	175.3748	34.2700	24	-304	-11 
05713.287	0.0933	0.0293	0.9395	0.0000	0.0610	0.0000	1.7578	-5.6580	175.3638	34.2300	26	-305	-12 
05713.389	0.0933	0.0298	0.9390	0.0000	0.0610	0.0000	1.7633	-5.6525	175.3143	34.2900	25	-306	-10 
05713.495	0.0938	0.0293	0.9385	0.0000	0.0610	0.0000	1.7633	-5.6470	175.2869	34.2400	25	-303	-12 
05713.583	0.0938	0.0288	0.9395	0.0000	0.0610	0.0000	1.7633	-5.6470	175.2704	34.2100	23	-303	-11 
05713.684	0.0938	0.0293	0.9395	0.0000	0.0000	0.0000	1.7633	-5.6470	175.2704	34.2800	21	-303	-12 
05713.787	0.0938	0.0288	0.9385	0.0000	0.0610	0.0000	1.7633	-5.6415	175.2704	34.2300	24	-305	-10 
05713.899	0.0928	0.0283	0.9385	0.0000	0.0610	0.0000	1.7633	-5.6415	175.2649	34.2200	22	-302	-12 
05713.992	0.6973	-0.1396	0.9790	0.0000	-0.3052	0.0000	1.6205	-6.1743	175.2924	34.2600	20	-301	-11 
05714.078	1.8999	-0.4019	0.8936	0.7324	-3.2349	0.3052	1.1206	-9.0198	175.6384	34.2800	22	-301	-4 
05714.187	1.8960	-0.4478	0.6304	1.6479	3.8452	2.6245	0.6097	-12.6343	176.3306	34.3100	30	-300	11 
05714.302	0.6553	-0.1255	0.3066	7.5073	22.5220	7.8125	0.3900	-14.4086	177.5226	34.2900	35	-311	29 
05714.443	-0.3354	0.2153	-0.0317	20.6909	41.0767	24.5972	2.7246	-9.1296	179.7253	34.2000	26	-324	48 
05714.487	-0.5820	0.5059	0.2700	24.5361	34.7900	44.0063	6.5149	-1.2305	-175.5121	34.2200	-15	-331	43 
05714.583	-0.5605	0.5283	1.1929	-33.2031	-11.2915	51.4526	8.3167	0.5713	-169.7168	34.3000	2	-314	23 
05714.713	-0.6719	-0.0737	1.0698	-47.5464	6.2256	19.2261	3.9825	1.3239	-167.1405	34.2200	-1	-340	68 
05714.779	-0.5723	0.3848	0.5444	81.7261	16.6626	4.7607	6.5918	6.0974	-167.3657	34.2800	-10	-349	88 
05714.890	-0.3872	0.8130	0.6665	89.5386	-31.4331	1.4038	17.5946	6.4160	-167.4316	34.2500	3	-338	76 
05714.991	-0.2046	0.5986	0.8994	-28.8086	-40.3442	-44.7998	21.8463	3.4222	-171.3702	34.2100	21	-312	40 
05715.081	-0.1865	0.0356	1.0137	-85.5713	-17.7002	-62.9883	15.1886	3.1366	-178.1488	34.2800	36	-299	32 
05715.195	-0.0195	-0.1567	0.9937	-45.5933	1.4038	-31.4331	6.3226	3.8947	176.3525	34.2400	41	-298	31 
05715.294	0.0630	-0.0063	0.9526	-1.6479	1.7700	-3.7231	3.6804	3.8727	174.6497	34.2500	39	-297	29 
05715.378	0.0557	0.0928	0.9316	10.6812	0.1831	6.5308	4.6692	3.4607	175.0452	34.2200	34	-300	28 
05715.523	0.0371	0.0806	0.9355	3.7231	-0.1831	2.6855	5.3943	3.0542	175.3638	34.2600	37	-302	30 
05715.610	0.0308	0.0557	0.9414	-1.5259	0.0000	-0.8545	5.3009	2.7521	175.2429	34.2700	36	-297	26 
05715.701	0.0337	0.0532	0.9419	-1.1597	0.0610	-0.7324	5.0372	2.4884	175.0452	34.2500	35	-298	30 
05715.794	0.0356	0.0571	0.9414	0.0000	0.0610	0.0000	4.8944	2.2302	174.9188	34.3000	36	-297	29 
05715.889	0.0352	0.0586	0.9409	0.1831	0.0000	0.0610	4.8230	1.9775	174.8145	34.2100	34	-298	32 
05715.979	0.0347	0.0591	0.9404	0.0000	0.0000	0.0000	4.7571	1.7413	174.7156	34.2700	39	-300	30 
05716.102	0.0347	0.0581	0.9404	0.0000	0.0000	0.0000	4.6802	1.5161	174.6002	34.2900	38	-298	30 
05716.178	0.0342	0.0576	0.9409	0.0000	0.0000	0.0000	4.6088	1.3074	174.5178	34.2400	37	-297	28 
05716.281	0.0342	0.0581	0.9404	0.0000	0.0000	0.0000	4.5428	1.1096	174.4464	34.2100	36	-301	33 
05716.389	0.0342	0.0586	0.9404	0.0000	0.0000	0.0000	4.4824	0.9229	174.3640	34.2500	39	-302	30 
